run,resolution,thread_x,thread_y,time_gpu,ftype
1,500,1,1,5504.0,double
2,500,1,1,5218.0,double
3,500,1,1,5211.0,double
4,500,1,1,5198.0,double
5,500,1,1,5198.0,double
6,500,1,1,5206.0,double
7,500,1,1,5206.0,double
8,500,1,1,5208.0,double
9,500,1,1,5202.0,double
10,500,1,1,5199.0,double
1,500,1,1,5205.0,float
2,500,1,1,5200.0,float
3,500,1,1,5231.0,float
4,500,1,1,5248.0,float
5,500,1,1,5254.0,float
6,500,1,1,5245.0,float
7,500,1,1,5245.0,float
8,500,1,1,5248.0,float
9,500,1,1,5252.0,float
10,500,1,1,5236.0,float
1,500,1,2,2672.0,double
2,500,1,2,2681.0,double
3,500,1,2,2682.0,double
4,500,1,2,2678.0,double
5,500,1,2,2677.0,double
6,500,1,2,2689.0,double
7,500,1,2,2685.0,double
8,500,1,2,2689.0,double
9,500,1,2,2692.0,double
10,500,1,2,2679.0,double
1,500,1,2,2683.0,float
2,500,1,2,2693.0,float
3,500,1,2,2679.0,float
4,500,1,2,2685.0,float
5,500,1,2,2688.0,float
6,500,1,2,2684.0,float
7,500,1,2,2692.0,float
8,500,1,2,2680.0,float
9,500,1,2,2673.0,float
10,500,1,2,2682.0,float
1,500,1,4,1392.0,double
2,500,1,4,1361.0,double
3,500,1,4,1362.0,double
4,500,1,4,1385.0,double
5,500,1,4,1394.0,double
6,500,1,4,1390.0,double
7,500,1,4,1400.0,double
8,500,1,4,1393.0,double
9,500,1,4,1391.0,double
10,500,1,4,1397.0,double
1,500,1,4,1406.0,float
2,500,1,4,1396.0,float
3,500,1,4,1388.0,float
4,500,1,4,1362.0,float
5,500,1,4,1404.0,float
6,500,1,4,1389.0,float
7,500,1,4,1397.0,float
8,500,1,4,1361.0,float
9,500,1,4,1388.0,float
10,500,1,4,1388.0,float
1,500,1,8,713.0,double
2,500,1,8,748.0,double
3,500,1,8,752.0,double
4,500,1,8,715.0,double
5,500,1,8,748.0,double
6,500,1,8,713.0,double
7,500,1,8,748.0,double
8,500,1,8,744.0,double
9,500,1,8,750.0,double
10,500,1,8,735.0,double
1,500,1,8,749.0,float
2,500,1,8,712.0,float
3,500,1,8,713.0,float
4,500,1,8,740.0,float
5,500,1,8,748.0,float
6,500,1,8,750.0,float
7,500,1,8,743.0,float
8,500,1,8,713.0,float
9,500,1,8,726.0,float
10,500,1,8,747.0,float
1,500,1,16,428.0,double
2,500,1,16,407.0,double
3,500,1,16,417.0,double
4,500,1,16,417.0,double
5,500,1,16,419.0,double
6,500,1,16,407.0,double
7,500,1,16,420.0,double
8,500,1,16,442.0,double
9,500,1,16,420.0,double
10,500,1,16,387.0,double
1,500,1,16,428.0,float
2,500,1,16,418.0,float
3,500,1,16,422.0,float
4,500,1,16,415.0,float
5,500,1,16,414.0,float
6,500,1,16,416.0,float
7,500,1,16,427.0,float
8,500,1,16,393.0,float
9,500,1,16,388.0,float
10,500,1,16,416.0,float
1,500,2,1,2679.0,double
2,500,2,1,2684.0,double
3,500,2,1,2680.0,double
4,500,2,1,2682.0,double
5,500,2,1,2689.0,double
6,500,2,1,2671.0,double
7,500,2,1,2680.0,double
8,500,2,1,2650.0,double
9,500,2,1,2673.0,double
10,500,2,1,2671.0,double
1,500,2,1,2678.0,float
2,500,2,1,2681.0,float
3,500,2,1,2680.0,float
4,500,2,1,2693.0,float
5,500,2,1,2678.0,float
6,500,2,1,2671.0,float
7,500,2,1,2683.0,float
8,500,2,1,2689.0,float
9,500,2,1,2676.0,float
10,500,2,1,2686.0,float
1,500,2,2,1385.0,double
2,500,2,2,1370.0,double
3,500,2,2,1389.0,double
4,500,2,2,1383.0,double
5,500,2,2,1397.0,double
6,500,2,2,1379.0,double
7,500,2,2,1379.0,double
8,500,2,2,1386.0,double
9,500,2,2,1391.0,double
10,500,2,2,1388.0,double
1,500,2,2,1390.0,float
2,500,2,2,1357.0,float
3,500,2,2,1388.0,float
4,500,2,2,1387.0,float
5,500,2,2,1378.0,float
6,500,2,2,1389.0,float
7,500,2,2,1379.0,float
8,500,2,2,1387.0,float
9,500,2,2,1387.0,float
10,500,2,2,1357.0,float
1,500,2,4,737.0,double
2,500,2,4,729.0,double
3,500,2,4,739.0,double
4,500,2,4,735.0,double
5,500,2,4,741.0,double
6,500,2,4,735.0,double
7,500,2,4,752.0,double
8,500,2,4,707.0,double
9,500,2,4,745.0,double
10,500,2,4,740.0,double
1,500,2,4,738.0,float
2,500,2,4,744.0,float
3,500,2,4,733.0,float
4,500,2,4,736.0,float
5,500,2,4,730.0,float
6,500,2,4,741.0,float
7,500,2,4,737.0,float
8,500,2,4,748.0,float
9,500,2,4,747.0,float
10,500,2,4,741.0,float
1,500,2,8,413.0,double
2,500,2,8,383.0,double
3,500,2,8,423.0,double
4,500,2,8,420.0,double
5,500,2,8,395.0,double
6,500,2,8,406.0,double
7,500,2,8,382.0,double
8,500,2,8,380.0,double
9,500,2,8,410.0,double
10,500,2,8,405.0,double
1,500,2,8,410.0,float
2,500,2,8,412.0,float
3,500,2,8,422.0,float
4,500,2,8,407.0,float
5,500,2,8,408.0,float
6,500,2,8,407.0,float
7,500,2,8,424.0,float
8,500,2,8,411.0,float
9,500,2,8,411.0,float
10,500,2,8,417.0,float
1,500,2,16,216.0,double
2,500,2,16,245.0,double
3,500,2,16,241.0,double
4,500,2,16,247.0,double
5,500,2,16,216.0,double
6,500,2,16,256.0,double
7,500,2,16,217.0,double
8,500,2,16,245.0,double
9,500,2,16,216.0,double
10,500,2,16,249.0,double
1,500,2,16,247.0,float
2,500,2,16,243.0,float
3,500,2,16,246.0,float
4,500,2,16,243.0,float
5,500,2,16,217.0,float
6,500,2,16,237.0,float
7,500,2,16,244.0,float
8,500,2,16,267.0,float
9,500,2,16,241.0,float
10,500,2,16,243.0,float
1,500,4,1,1390.0,double
2,500,4,1,1399.0,double
3,500,4,1,1361.0,double
4,500,4,1,1383.0,double
5,500,4,1,1361.0,double
6,500,4,1,1388.0,double
7,500,4,1,1388.0,double
8,500,4,1,1389.0,double
9,500,4,1,1389.0,double
10,500,4,1,1391.0,double
1,500,4,1,1387.0,float
2,500,4,1,1388.0,float
3,500,4,1,1387.0,float
4,500,4,1,1397.0,float
5,500,4,1,1383.0,float
6,500,4,1,1405.0,float
7,500,4,1,1398.0,float
8,500,4,1,1390.0,float
9,500,4,1,1361.0,float
10,500,4,1,1390.0,float
1,500,4,2,710.0,double
2,500,4,2,736.0,double
3,500,4,2,748.0,double
4,500,4,2,741.0,double
5,500,4,2,737.0,double
6,500,4,2,745.0,double
7,500,4,2,735.0,double
8,500,4,2,707.0,double
9,500,4,2,711.0,double
10,500,4,2,748.0,double
1,500,4,2,708.0,float
2,500,4,2,708.0,float
3,500,4,2,740.0,float
4,500,4,2,744.0,float
5,500,4,2,742.0,float
6,500,4,2,757.0,float
7,500,4,2,737.0,float
8,500,4,2,737.0,float
9,500,4,2,708.0,float
10,500,4,2,710.0,float
1,500,4,4,382.0,double
2,500,4,4,407.0,double
3,500,4,4,399.0,double
4,500,4,4,413.0,double
5,500,4,4,409.0,double
6,500,4,4,412.0,double
7,500,4,4,379.0,double
8,500,4,4,409.0,double
9,500,4,4,407.0,double
10,500,4,4,411.0,double
1,500,4,4,410.0,float
2,500,4,4,407.0,float
3,500,4,4,382.0,float
4,500,4,4,417.0,float
5,500,4,4,402.0,float
6,500,4,4,420.0,float
7,500,4,4,412.0,float
8,500,4,4,399.0,float
9,500,4,4,413.0,float
10,500,4,4,408.0,float
1,500,4,8,253.0,double
2,500,4,8,241.0,double
3,500,4,8,236.0,double
4,500,4,8,215.0,double
5,500,4,8,239.0,double
6,500,4,8,255.0,double
7,500,4,8,237.0,double
8,500,4,8,246.0,double
9,500,4,8,240.0,double
10,500,4,8,246.0,double
1,500,4,8,238.0,float
2,500,4,8,253.0,float
3,500,4,8,219.0,float
4,500,4,8,243.0,float
5,500,4,8,245.0,float
6,500,4,8,241.0,float
7,500,4,8,249.0,float
8,500,4,8,243.0,float
9,500,4,8,255.0,float
10,500,4,8,245.0,float
1,500,4,16,253.0,double
2,500,4,16,214.0,double
3,500,4,16,241.0,double
4,500,4,16,254.0,double
5,500,4,16,239.0,double
6,500,4,16,242.0,double
7,500,4,16,247.0,double
8,500,4,16,259.0,double
9,500,4,16,246.0,double
10,500,4,16,216.0,double
1,500,4,16,240.0,float
2,500,4,16,244.0,float
3,500,4,16,237.0,float
4,500,4,16,234.0,float
5,500,4,16,254.0,float
6,500,4,16,217.0,float
7,500,4,16,245.0,float
8,500,4,16,244.0,float
9,500,4,16,249.0,float
10,500,4,16,249.0,float
1,500,8,1,744.0,double
2,500,8,1,717.0,double
3,500,8,1,738.0,double
4,500,8,1,732.0,double
5,500,8,1,752.0,double
6,500,8,1,744.0,double
7,500,8,1,755.0,double
8,500,8,1,749.0,double
9,500,8,1,714.0,double
10,500,8,1,713.0,double
1,500,8,1,738.0,float
2,500,8,1,739.0,float
3,500,8,1,757.0,float
4,500,8,1,741.0,float
5,500,8,1,746.0,float
6,500,8,1,715.0,float
7,500,8,1,742.0,float
8,500,8,1,742.0,float
9,500,8,1,715.0,float
10,500,8,1,746.0,float
1,500,8,2,408.0,double
2,500,8,2,410.0,double
3,500,8,2,405.0,double
4,500,8,2,411.0,double
5,500,8,2,416.0,double
6,500,8,2,411.0,double
7,500,8,2,387.0,double
8,500,8,2,417.0,double
9,500,8,2,412.0,double
10,500,8,2,410.0,double
1,500,8,2,431.0,float
2,500,8,2,381.0,float
3,500,8,2,410.0,float
4,500,8,2,408.0,float
5,500,8,2,406.0,float
6,500,8,2,406.0,float
7,500,8,2,429.0,float
8,500,8,2,416.0,float
9,500,8,2,408.0,float
10,500,8,2,409.0,float
1,500,8,4,244.0,double
2,500,8,4,249.0,double
3,500,8,4,244.0,double
4,500,8,4,241.0,double
5,500,8,4,238.0,double
6,500,8,4,249.0,double
7,500,8,4,249.0,double
8,500,8,4,261.0,double
9,500,8,4,246.0,double
10,500,8,4,245.0,double
1,500,8,4,213.0,float
2,500,8,4,246.0,float
3,500,8,4,237.0,float
4,500,8,4,251.0,float
5,500,8,4,255.0,float
6,500,8,4,244.0,float
7,500,8,4,247.0,float
8,500,8,4,236.0,float
9,500,8,4,215.0,float
10,500,8,4,215.0,float
1,500,8,8,219.0,double
2,500,8,8,245.0,double
3,500,8,8,272.0,double
4,500,8,8,241.0,double
5,500,8,8,247.0,double
6,500,8,8,222.0,double
7,500,8,8,245.0,double
8,500,8,8,253.0,double
9,500,8,8,218.0,double
10,500,8,8,219.0,double
1,500,8,8,244.0,float
2,500,8,8,242.0,float
3,500,8,8,247.0,float
4,500,8,8,239.0,float
5,500,8,8,244.0,float
6,500,8,8,241.0,float
7,500,8,8,246.0,float
8,500,8,8,214.0,float
9,500,8,8,250.0,float
10,500,8,8,254.0,float
1,500,8,16,244.0,double
2,500,8,16,243.0,double
3,500,8,16,240.0,double
4,500,8,16,242.0,double
5,500,8,16,244.0,double
6,500,8,16,253.0,double
7,500,8,16,242.0,double
8,500,8,16,243.0,double
9,500,8,16,258.0,double
10,500,8,16,245.0,double
1,500,8,16,248.0,float
2,500,8,16,243.0,float
3,500,8,16,214.0,float
4,500,8,16,239.0,float
5,500,8,16,243.0,float
6,500,8,16,215.0,float
7,500,8,16,213.0,float
8,500,8,16,242.0,float
9,500,8,16,249.0,float
10,500,8,16,244.0,float
1,500,16,1,419.0,double
2,500,16,1,417.0,double
3,500,16,1,431.0,double
4,500,16,1,388.0,double
5,500,16,1,426.0,double
6,500,16,1,416.0,double
7,500,16,1,417.0,double
8,500,16,1,412.0,double
9,500,16,1,410.0,double
10,500,16,1,417.0,double
1,500,16,1,423.0,float
2,500,16,1,389.0,float
3,500,16,1,423.0,float
4,500,16,1,433.0,float
5,500,16,1,419.0,float
6,500,16,1,410.0,float
7,500,16,1,418.0,float
8,500,16,1,419.0,float
9,500,16,1,388.0,float
10,500,16,1,411.0,float
1,500,16,2,243.0,double
2,500,16,2,246.0,double
3,500,16,2,244.0,double
4,500,16,2,246.0,double
5,500,16,2,218.0,double
6,500,16,2,217.0,double
7,500,16,2,249.0,double
8,500,16,2,248.0,double
9,500,16,2,217.0,double
